cmd,data1,data0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,127,112
130,0,0
130,0,16
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,16
130,0,0
130,0,0
130,0,16
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,16
130,0,0
130,127,112
130,0,0
130,0,0
130,0,0
130,0,0
130,127,112
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,127,112
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,0,0
130,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,127
112,130,0
0,130,0
0,130,0
16,130,0
0,130,0
0,130,0
16,130,0
0,130,0
0,130,0
0,130,0
16,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
16,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,127
112,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
16,130,0
0,130,0
0,130,0
0,130,0
0,130,20
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
16,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,127
112,130,0
0,130,0
0,130,0
16,130,127
112,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,146,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
16,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,127
112,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,16
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,127
