0,1,2
123,192,0
121,196,0
120,140,0
118,162,0
116,226,0
114,228,0
113,134,0
111,206,0
110,108,0
108,114,0
106,164,0
104,182,0
103,40,0
101,80,0
99,122,0
97,86,0
95,158,0
94,4,0
92,126,0
90,142,0
88,144,0
86,200,0
85,52,0
83,84,0
81,92,0
79,148,0
77,254,0
76,60,0
74,60,0
72,104,0
70,148,0
68,240,0
66,220,0
65,4,0
63,44,0
61,118,0
59,140,0
57,158,0
55,244,0
54,140,0
52,196,0
50,174,0
48,96,0
46,176,0
44,144,0
42,76,0
40,58,0
38,168,0
36,250,0
35,70,0
33,72,0
31,162,0
30,8,0
28,166,0
26,136,0
24,94,0
22,102,0
20,142,0
18,210,0
16,252,0
15,58,0
13,132,0
11,230,0
10,28,0
8,98,0
6,78,0
4,144,0
2,204,0
1,116,0
127,120,0
125,186,0
123,220,0
123,16,0
121,194,0
120,228,0
120,30,0
120,30,0
119,126,0
118,10,0
115,254,0
114,24,0
112,20,0
110,120,0
108,144,0
106,208,0
105,22,0
103,116,0
101,184,0
100,38,0
98,82,0
96,120,0
94,170,0
92,246,0
91,64,0
89,124,0
87,154,0
85,214,0
84,24,0
82,104,0
80,178,0
78,186,0
77,16,0
75,34,0
73,108,0
71,134,0
69,200,0
67,190,0
66,28,0
64,68,0
62,176,0
60,150,0
58,196,0
56,198,0
55,60,0
53,56,0
51,54,0
49,26,0
47,134,0
45,170,0
43,236,0
41,206,0
40,28,0
38,128,0
37,6,0
34,244,0
32,246,0
31,22,0
29,94,0
27,132,0
25,198,0
23,222,0
22,32,0
20,94,0
18,154,0
16,236,0
14,244,0
13,54,0
11,128,0
10,12,0
8,56,0
6,126,0
4,168,0
4,56,0
3,112,0
2,22,0
0,160,0
0,90,0
126,226,0
125,60,0
123,80,0
121,92,0
119,108,0
117,218,0
116,10,0
114,46,0
111,250,0
110,72,0
108,158,0
107,32,0
105,24,0
103,26,0
101,64,0
99,186,0
97,224,0
95,254,0
94,6,0
92,98,0
90,168,0
88,228,0
87,20,0
85,92,0
83,164,0
81,190,0
79,226,0
78,2,0
76,50,0
74,54,0
72,102,0
70,170,0
69,46,0
67,56,0
65,92,0
63,90,0
61,182,0
59,170,0
57,152,0
55,152,0
53,252,0
52,20,0
50,128,0
48,98,0
46,194,0
44,232,0
43,112,0
41,102,0
39,104,0
37,90,0
35,160,0
33,198,0
32,52,0
30,72,0
28,126,0
26,192,0
25,200,0
25,16,0
23,10,0
21,104,0
20,226,0
20,218,0
19,154,0
17,240,0
16,152,0
16,230,0
17,96,0
17,108,0
17,18,0
17,140,0
17,164,0
17,112,0
17,52,0
17,72,0
17,88,0
17,138,0
16,120,0
14,148,0
12,90,0
10,188,0
9,20,0
7,108,0
5,106,0
3,122,0
1,130,0
127,240,0
125,244,0
124,52,0
122,66,0
120,232,0
119,8,0
117,42,0
115,30,0
113,114,0
111,124,0
109,148,0
107,140,0
105,244,0
104,36,0
102,116,0
100,122,0
99,28,0
97,146,0
95,234,0
93,178,0
91,156,0
89,174,0
87,200,0
85,174,0
83,152,0
82,14,0
80,136,0
78,214,0
76,202,0
75,76,0
73,176,0
72,20,0
70,22,0
67,218,0
65,188,0
63,250,0
61,248,0
60,100,0
58,126,0
56,250,0
55,34,0
53,142,0
51,130,0
49,142,0
47,92,0
45,144,0
43,156,0
41,222,0
39,236,0
38,154,0
37,198,0
37,24,0
36,46,0
35,182,0
35,150,0
35,152,0
34,174,0
33,216,0
33,222,0
34,116,0
34,144,0
34,152,0
34,148,0
34,136,0
34,148,0
34,152,0
34,142,0
34,178,0
34,188,0
34,180,0
34,192,0
34,174,0
34,178,0
34,84,0
32,98,0
30,120,0
29,66,0
28,198,0
28,62,0
27,104,0
25,194,0
24,68,0
